"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0009908","flower development",301,12,7.15,0.0013,"BP"
"2","GO:0048026","positive regulation of mRNA splicing, vi...",3,2,0.07,0.0017,"BP"
"3","GO:0007399","nervous system development",33,4,0.78,0.0032,"BP"
"4","GO:0006621","protein retention in ER lumen",4,2,0.1,0.0033,"BP"
"5","GO:0045995","regulation of embryonic development",14,3,0.33,0.004,"BP"
"6","GO:0016571","histone methylation",40,4,0.95,0.0059,"BP"
"7","GO:0000460","maturation of 5.8S rRNA",27,5,0.64,0.0078,"BP"
"8","GO:0006491","N-glycan processing",6,2,0.14,0.0079,"BP"
"9","GO:0000463","maturation of LSU-rRNA from tricistronic...",18,3,0.43,0.0083,"BP"
"10","GO:0006413","translational initiation",90,8,2.14,0.0143,"BP"
"11","GO:0051607","defense response to virus",32,4,0.76,0.0164,"BP"
"12","GO:0010228","vegetative to reproductive phase transit...",146,9,3.47,0.0167,"BP"
"13","GO:0000338","protein deneddylation",9,2,0.21,0.0181,"BP"
"14","GO:0042631","cellular response to water deprivation",24,3,0.57,0.0186,"BP"
"15","GO:0048586","regulation of long-day photoperiodism, f...",42,4,1,0.0229,"BP"
"16","GO:0070482","response to oxygen levels",99,4,2.35,0.0237,"BP"
"17","GO:0006417","regulation of translation",116,7,2.76,0.0321,"BP"
"18","GO:0051028","mRNA transport",73,5,1.73,0.0388,"BP"
"19","GO:0032981","mitochondrial respiratory chain complex ...",14,2,0.33,0.0424,"BP"
"20","GO:0000398","mRNA splicing, via spliceosome",131,12,3.11,0.046,"BP"
"21","GO:0042542","response to hydrogen peroxide",34,3,0.81,0.0462,"BP"
"22","GO:0046473","phosphatidic acid metabolic process",6,2,0.14,0.0468,"BP"
"23","GO:0000466","maturation of 5.8S rRNA from tricistroni...",21,3,0.5,0.0479,"BP"
"24","GO:0009944","polarity specification of adaxial/abaxia...",15,2,0.36,0.0482,"BP"
"25","GO:0010468","regulation of gene expression",1769,54,42.04,0.0587,"BP"
"26","GO:2000070","regulation of response to water deprivat...",41,3,0.97,0.0669,"BP"
"27","GO:0006325","chromatin organization",311,13,7.39,0.0788,"BP"
"28","GO:0001732","formation of cytoplasmic translation ini...",20,2,0.48,0.0808,"BP"
"29","GO:0015031","protein transport",592,24,14.07,0.0838,"BP"
"30","GO:0045893","positive regulation of DNA-templated tra...",274,11,6.51,0.0843,"BP"
"31","GO:0016070","RNA metabolic process",2571,79,61.1,0.085,"BP"
"32","GO:0006457","protein folding",184,8,4.37,0.0867,"BP"
"33","GO:0030163","protein catabolic process",310,10,7.37,0.0873,"BP"
"34","GO:0006334","nucleosome assembly",21,2,0.5,0.0879,"BP"
"35","GO:0072598","protein localization to chloroplast",32,3,0.76,0.0913,"BP"
"36","GO:0042255","ribosome assembly",22,2,0.52,0.0952,"BP"
"37","GO:0006886","intracellular protein transport",297,13,7.06,0.0993,"BP"
"38","GO:0000184","nuclear-transcribed mRNA catabolic proce...",23,2,0.55,0.1027,"BP"
"39","GO:0042147","retrograde transport, endosome to Golgi",23,2,0.55,0.1027,"BP"
"40","GO:0045892","negative regulation of DNA-templated tra...",138,7,3.28,0.1069,"BP"
"41","GO:0048510","regulation of timing of transition from ...",24,2,0.57,0.1104,"BP"
"42","GO:0006364","rRNA processing",220,13,5.23,0.1111,"BP"
"43","GO:0009648","photoperiodism",111,6,2.64,0.1124,"BP"
"44","GO:0006898","receptor-mediated endocytosis",39,3,0.93,0.1129,"BP"
"45","GO:0006376","mRNA splice site recognition",7,2,0.17,0.113,"BP"
"46","GO:0033500","carbohydrate homeostasis",17,2,0.4,0.1131,"BP"
"47","GO:0048528","post-embryonic root development",84,2,2,0.1137,"BP"
"48","GO:0006879","intracellular iron ion homeostasis",25,2,0.59,0.1182,"BP"
"49","GO:0009585","red, far-red light phototransduction",25,2,0.59,0.1182,"BP"
"50","GO:0051603","proteolysis involved in protein cataboli...",283,7,6.73,0.119,"BP"
"51","GO:0009651","response to salt stress",259,10,6.15,0.1248,"BP"
"52","GO:0051726","regulation of cell cycle",127,5,3.02,0.1257,"BP"
"53","GO:0090333","regulation of stomatal closure",26,2,0.62,0.1261,"BP"
"54","GO:0006397","mRNA processing",378,22,8.98,0.1283,"BP"
"55","GO:0000470","maturation of LSU-rRNA",24,4,0.57,0.1333,"BP"
"56","GO:0098656","monoatomic anion transmembrane transport",27,2,0.64,0.1342,"BP"
"57","GO:2000024","regulation of leaf development",27,2,0.64,0.1342,"BP"
"58","GO:0000373","Group II intron splicing",27,2,0.64,0.1342,"BP"
"59","GO:0043622","cortical microtubule organization",27,2,0.64,0.1342,"BP"
"60","GO:0006396","RNA processing",791,39,18.8,0.1414,"BP"
"61","GO:0009853","photorespiration",28,2,0.67,0.1423,"BP"
"62","GO:0007030","Golgi organization",28,2,0.67,0.1423,"BP"
"63","GO:0009744","response to sucrose",56,3,1.33,0.1477,"BP"
"64","GO:0009749","response to glucose",33,3,0.78,0.1498,"BP"
"65","GO:0045333","cellular respiration",75,5,1.78,0.1538,"BP"
"66","GO:0009060","aerobic respiration",60,3,1.43,0.1546,"BP"
"67","GO:0045324","late endosome to vacuole transport",30,2,0.71,0.1589,"BP"
"68","GO:0016117","carotenoid biosynthetic process",30,2,0.71,0.1589,"BP"
"69","GO:0009845","seed germination",98,5,2.33,0.1661,"BP"
"70","GO:0048366","leaf development",191,8,4.54,0.1684,"BP"
"71","GO:0002183","cytoplasmic translational initiation",28,3,0.67,0.1742,"BP"
"72","GO:0009083","branched-chain amino acid catabolic proc...",13,2,0.31,0.1746,"BP"
"73","GO:0016236","macroautophagy",23,2,0.55,0.1747,"BP"
"74","GO:0010214","seed coat development",28,2,0.67,0.1748,"BP"
"75","GO:0003729","mRNA binding",452,31,10.74,2.4e-07,"MF"
"76","GO:0031370","eukaryotic initiation factor 4G binding",2,2,0.05,0.00056,"MF"
"77","GO:0003743","translation initiation factor activity",82,8,1.95,0.00072,"MF"
"78","GO:0000340","RNA 7-methylguanosine cap binding",3,2,0.07,0.00166,"MF"
"79","GO:0046923","ER retention sequence binding",4,2,0.1,0.00327,"MF"
"80","GO:0016018","cyclosporin A binding",5,2,0.12,0.00537,"MF"
"81","GO:0016740","transferase activity",2963,60,70.43,0.01294,"MF"
"82","GO:0003724","RNA helicase activity",87,6,2.07,0.01737,"MF"
"83","GO:0003713","transcription coactivator activity",24,3,0.57,0.0186,"MF"
"84","GO:0004630","phospholipase D activity",12,2,0.29,0.03176,"MF"
"85","GO:0070290","N-acylphosphatidylethanolamine-specific ...",12,2,0.29,0.03176,"MF"
"86","GO:0030544","Hsp70 protein binding",12,2,0.29,0.03176,"MF"
"87","GO:0043021","ribonucleoprotein complex binding",64,6,1.52,0.03631,"MF"
"88","GO:0008137","NADH dehydrogenase (ubiquinone) activity",13,2,0.31,0.03695,"MF"
"89","GO:0003682","chromatin binding",93,7,2.21,0.03895,"MF"
"90","GO:0016887","ATP hydrolysis activity",448,17,10.65,0.03913,"MF"
"91","GO:0031490","chromatin DNA binding",14,2,0.33,0.04245,"MF"
"92","GO:0004722","protein serine/threonine phosphatase act...",111,3,2.64,0.04707,"MF"
"93","GO:0015288","porin activity",15,2,0.36,0.04822,"MF"
"94","GO:0051539","4 iron, 4 sulfur cluster binding",59,4,1.4,0.05139,"MF"
"95","GO:0005525","GTP binding",202,9,4.8,0.05221,"MF"
"96","GO:0003723","RNA binding",1256,59,29.85,0.05585,"MF"
"97","GO:0005515","protein binding",3321,87,78.94,0.06685,"MF"
"98","GO:0004190","aspartic-type endopeptidase activity",66,4,1.57,0.07174,"MF"
"99","GO:0003680","minor groove of adenine-thymine-rich DNA...",19,2,0.45,0.07384,"MF"
"100","GO:0043022","ribosome binding",51,4,1.21,0.07696,"MF"
"101","GO:0046961","proton-transporting ATPase activity, rot...",20,2,0.48,0.0808,"MF"
"102","GO:0008308","voltage-gated monoatomic anion channel a...",20,2,0.48,0.0808,"MF"
"103","GO:0004843","cysteine-type deubiquitinase activity",52,3,1.24,0.12598,"MF"
"104","GO:0051015","actin filament binding",52,3,1.24,0.12598,"MF"
"105","GO:0051082","unfolded protein binding",83,4,1.97,0.13517,"MF"
"106","GO:0031369","translation initiation factor binding",9,3,0.21,0.15406,"MF"
"107","GO:0004713","protein tyrosine kinase activity",62,4,1.47,0.15794,"MF"
"108","GO:0019900","kinase binding",84,4,2,0.22716,"MF"
"109","GO:0003924","GTPase activity",144,5,3.42,0.25809,"MF"
"110","GO:1990837","sequence-specific double-stranded DNA bi...",419,6,9.96,0.29,"MF"
"111","GO:0005085","guanyl-nucleotide exchange factor activi...",45,2,1.07,0.29016,"MF"
"112","GO:0043621","protein self-association",81,3,1.93,0.30277,"MF"
"113","GO:0004222","metalloendopeptidase activity",49,2,1.16,0.32539,"MF"
"114","GO:0003735","structural constituent of ribosome",204,6,4.85,0.35697,"MF"
"115","GO:0051119","sugar transmembrane transporter activity",49,2,1.16,0.36679,"MF"
"116","GO:0015079","potassium ion transmembrane transporter ...",55,2,1.31,0.37729,"MF"
"117","GO:0051537","2 iron, 2 sulfur cluster binding",56,2,1.33,0.38579,"MF"
"118","GO:0003727","single-stranded RNA binding",32,2,0.76,0.4104,"MF"
"119","GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",61,2,1.45,0.42748,"MF"
"120","GO:0030276","clathrin binding",40,3,0.95,0.43712,"MF"
"121","GO:0046873","metal ion transmembrane transporter acti...",163,5,3.87,0.43814,"MF"
"122","GO:0008289","lipid binding",237,7,5.63,0.46136,"MF"
"123","GO:0005096","GTPase activator activity",70,2,1.66,0.49854,"MF"
"124","GO:0004197","cysteine-type endopeptidase activity",33,2,0.78,0.50156,"MF"
"125","GO:0009055","electron transfer activity",84,4,2,0.50302,"MF"
"126","GO:0008173","RNA methyltransferase activity",63,2,1.5,0.52576,"MF"
"127","GO:0003712","transcription coregulator activity",72,5,1.71,0.5336,"MF"
"128","GO:0019901","protein kinase binding",46,2,1.09,0.53653,"MF"
"129","GO:0050660","flavin adenine dinucleotide binding",121,3,2.88,0.54986,"MF"
"130","GO:0042393","histone binding",80,3,1.9,0.56192,"MF"
"131","GO:0016405","CoA-ligase activity",39,2,0.93,0.58872,"MF"
"132","GO:0017177","glucosidase II complex",2,2,0.05,0.00062,"CC"
"133","GO:0080008","Cul4-RING E3 ubiquitin ligase complex",47,6,1.17,0.00104,"CC"
"134","GO:0016281","eukaryotic translation initiation factor...",4,2,0.1,0.00359,"CC"
"135","GO:0005730","nucleolus",284,16,7.08,0.00436,"CC"
"136","GO:0005681","spliceosomal complex",118,12,2.94,0.00636,"CC"
"137","GO:0030687","preribosome, large subunit precursor",17,3,0.42,0.00804,"CC"
"138","GO:0005845","mRNA cap binding complex",6,2,0.15,0.00869,"CC"
"139","GO:0016607","nuclear speck",73,6,1.82,0.0096,"CC"
"140","GO:0005737","cytoplasm",6561,184,163.51,0.01067,"CC"
"141","GO:0019774","proteasome core complex, beta-subunit co...",7,2,0.17,0.01197,"CC"
"142","GO:0005689","U12-type spliceosomal complex",7,2,0.17,0.01197,"CC"
"143","GO:0008180","COP9 signalosome",8,2,0.2,0.0157,"CC"
"144","GO:0005685","U1 snRNP",8,2,0.2,0.0157,"CC"
"145","GO:0005829","cytosol",1191,44,29.68,0.01574,"CC"
"146","GO:0071005","U2-type precatalytic spliceosome",10,2,0.25,0.02441,"CC"
"147","GO:0071007","U2-type catalytic step 2 spliceosome",10,2,0.25,0.02441,"CC"
"148","GO:0005741","mitochondrial outer membrane",47,5,1.17,0.02505,"CC"
"149","GO:0005794","Golgi apparatus",735,23,18.32,0.03051,"CC"
"150","GO:0005634","nucleus",3988,128,99.39,0.0306,"CC"
"151","GO:0005686","U2 snRNP",12,2,0.3,0.03465,"CC"
"152","GO:0005747","mitochondrial respiratory chain complex ...",29,3,0.72,0.03473,"CC"
"153","GO:0005811","lipid droplet",32,3,0.8,0.04466,"CC"
"154","GO:0046930","pore complex",14,2,0.35,0.04625,"CC"
"155","GO:0071011","precatalytic spliceosome",12,3,0.3,0.04895,"CC"
"156","GO:0071013","catalytic step 2 spliceosome",26,4,0.65,0.05845,"CC"
"157","GO:0090406","pollen tube",39,3,0.97,0.07259,"CC"
"158","GO:0009527","plastid outer membrane",68,3,1.69,0.07284,"CC"
"159","GO:0005852","eukaryotic translation initiation factor...",18,2,0.45,0.07288,"CC"
"160","GO:0033290","eukaryotic 48S preinitiation complex",18,2,0.45,0.07288,"CC"
"161","GO:0016282","eukaryotic 43S preinitiation complex",18,2,0.45,0.07288,"CC"
"162","GO:0022625","cytosolic large ribosomal subunit",40,3,1,0.07709,"CC"
"163","GO:0005778","peroxisomal membrane",43,3,1.07,0.09129,"CC"
"164","GO:0031519","PcG protein complex",10,2,0.25,0.11825,"CC"
"165","GO:0030125","clathrin vesicle coat",14,2,0.35,0.14021,"CC"
"166","GO:0000502","proteasome complex",47,4,1.17,0.16109,"CC"
"167","GO:0000178","exosome (RNase complex)",14,2,0.35,0.16158,"CC"
"168","GO:0005840","ribosome",265,10,6.6,0.16642,"CC"
"169","GO:0030665","clathrin-coated vesicle membrane",26,3,0.65,0.18204,"CC"
"170","GO:0005743","mitochondrial inner membrane",185,9,4.61,0.1846,"CC"
"171","GO:0005654","nucleoplasm",341,16,8.5,0.24795,"CC"
"172","GO:0016604","nuclear body",113,8,2.82,0.25803,"CC"
"173","GO:1990904","ribonucleoprotein complex",533,29,13.28,0.26554,"CC"
"174","GO:0005759","mitochondrial matrix",114,6,2.84,0.27381,"CC"
"175","GO:0009536","plastid",1660,38,41.37,0.28741,"CC"
"176","GO:0005643","nuclear pore",44,2,1.1,0.30019,"CC"
"177","GO:0000123","histone acetyltransferase complex",30,2,0.75,0.33182,"CC"
"178","GO:0009506","plasmodesma",265,8,6.6,0.34113,"CC"
"179","GO:0005905","clathrin-coated pit",23,2,0.57,0.34828,"CC"
"180","GO:0009941","chloroplast envelope",334,8,8.32,0.41207,"CC"
"181","GO:0031966","mitochondrial membrane",249,15,6.21,0.4316,"CC"
"182","GO:0005768","endosome",303,6,7.55,0.45165,"CC"
"183","GO:0009705","plant-type vacuole membrane",76,3,1.89,0.45879,"CC"
"184","GO:0015630","microtubule cytoskeleton",255,4,6.36,0.47127,"CC"
"185","GO:0000785","chromatin",172,6,4.29,0.48222,"CC"
"186","GO:0009707","chloroplast outer membrane",65,2,1.62,0.4845,"CC"
"187","GO:0030136","clathrin-coated vesicle",57,4,1.42,0.49193,"CC"
"188","GO:0000325","plant-type vacuole",238,7,5.93,0.53004,"CC"
"189","GO:0005773","vacuole",438,11,10.92,0.53939,"CC"
"190","GO:0005783","endoplasmic reticulum",774,22,19.29,0.58113,"CC"
"191","GO:0031410","cytoplasmic vesicle",495,15,12.34,0.61407,"CC"
"192","GO:0005789","endoplasmic reticulum membrane",431,10,10.74,0.63674,"CC"
"193","GO:0005802","trans-Golgi network",140,3,3.49,0.68217,"CC"
"194","GO:0000139","Golgi membrane",376,8,9.37,0.72478,"CC"
"195","GO:0012505","endomembrane system",1665,46,41.5,0.72527,"CC"
"196","GO:0031969","chloroplast membrane",241,5,6.01,0.76001,"CC"
"197","GO:0005856","cytoskeleton",357,6,8.9,0.76632,"CC"
"198","GO:0009535","chloroplast thylakoid membrane",221,4,5.51,0.80525,"CC"
"199","GO:0005777","peroxisome",165,5,4.11,0.80922,"CC"
"200","GO:0009570","chloroplast stroma",353,7,8.8,0.87141,"CC"
"201","GO:0016020","membrane",5592,128,139.36,0.89118,"CC"
"202","GO:0048046","apoplast",153,2,3.81,0.89812,"CC"
"203","GO:0005739","mitochondrion",1000,31,24.92,0.90242,"CC"
"204","GO:0009507","chloroplast",1510,32,37.63,0.90497,"CC"
"205","GO:0005886","plasma membrane",1656,35,41.27,0.93449,"CC"
"206","GO:0010008","endosome membrane",144,2,3.59,0.95091,"CC"
"207","GO:0005874","microtubule",196,2,4.88,0.95838,"CC"
"208","GO:0005576","extracellular region",759,8,18.92,0.99814,"CC"
"209","GO:0098588","bounding membrane of organelle",1088,30,27.12,1,"CC"
"210","GO:0097708","intracellular vesicle",498,15,12.41,1,"CC"
"211","GO:0042579","microbody",165,5,4.11,1,"CC"
"212","GO:0120114","Sm-like protein family complex",38,3,0.95,1,"CC"
"213","GO:0005622","intracellular anatomical structure",9342,264,232.82,1,"CC"
"214","GO:0005575","cellular_component",12519,312,312,1,"CC"
"215","GO:0019866","organelle inner membrane",259,10,6.45,1,"CC"
"216","GO:0019867","outer membrane",335,11,8.35,1,"CC"
"217","GO:0030120","vesicle coat",33,3,0.82,1,"CC"
"218","GO:0045271","respiratory chain complex I",30,3,0.75,1,"CC"
"219","GO:0043231","intracellular membrane-bounded organelle",7864,222,195.99,1,"CC"
"220","GO:0043232","intracellular non-membrane-bounded organ...",1589,46,39.6,1,"CC"
"221","GO:0043233","organelle lumen",814,35,20.29,1,"CC"
"222","GO:1902493","acetyltransferase complex",33,2,0.82,1,"CC"
"223","GO:1902494","catalytic complex",746,34,18.59,1,"CC"
"224","GO:0048475","coated membrane",49,4,1.22,1,"CC"
"225","GO:1902495","transmembrane transporter complex",55,3,1.37,1,"CC"
"226","GO:0098827","endoplasmic reticulum subcompartment",433,11,10.79,1,"CC"
"227","GO:0030117","membrane coat",49,4,1.22,1,"CC"
"228","GO:0030118","clathrin coat",22,3,0.55,1,"CC"
"229","GO:1904949","ATPase complex",69,3,1.72,1,"CC"
"230","GO:0030964","NADH dehydrogenase complex",30,3,0.75,1,"CC"
"231","GO:0000151","ubiquitin ligase complex",135,7,3.36,1,"CC"
"232","GO:0005635","nuclear envelope",117,3,2.92,1,"CC"
"233","GO:0012506","vesicle membrane",224,7,5.58,1,"CC"
"234","GO:0032991","protein-containing complex",2042,80,50.89,1,"CC"
"235","GO:0032993","protein-DNA complex",198,7,4.93,1,"CC"
"236","GO:0005774","vacuolar membrane",185,5,4.61,1,"CC"
"237","GO:0070013","intracellular organelle lumen",814,35,20.29,1,"CC"
"238","GO:0030133","transport vesicle",45,2,1.12,1,"CC"
"239","GO:0030135","coated vesicle",86,5,2.14,1,"CC"
"240","GO:1905368","peptidase complex",69,5,1.72,1,"CC"
"241","GO:1905369","endopeptidase complex",52,4,1.3,1,"CC"
"242","GO:1990351","transporter complex",55,3,1.37,1,"CC"
"243","GO:0055044","symplast",265,8,6.6,1,"CC"
"244","GO:0042995","cell projection",86,4,2.14,1,"CC"
